Date,AAPL,TLT,MSFT
2020-04-02,59.294227600097656,144.9214324951172,148.09579467773438
2020-04-03,58.44209289550781,145.26629638671875,146.7318115234375
2020-04-06,63.54043197631836,144.88699340820312,157.6438751220703
2020-04-07,62.80448532104492,143.3696746826172,155.94602966308594
2020-04-08,64.41193389892578,142.32647705078125,157.5103302001953
2020-04-09,64.87675476074219,142.5851287841797,157.51991271972656
2020-04-13,66.15013885498047,141.28341674804688,157.87278747558594
2020-04-14,69.49090576171875,141.24887084960938,165.68490600585938
2020-04-15,68.85664367675781,144.9904327392578,163.94886779785156
2020-04-16,69.40377807617188,146.63705444335938,168.87078857421875
2020-04-17,68.46204376220703,144.67149353027344,170.35879516601562
2020-04-20,67.0409927368164,145.8353271484375,166.98214721679688
2020-04-21,64.96875762939453,147.6717071533203,160.07620239257812
2020-04-22,66.84008026123047,146.16287231445312,165.51318359375
2020-04-23,66.5810317993164,146.9387969970703,163.51011657714844
2020-04-24,68.5031967163086,147.28370666503906,166.4956817626953
2020-04-27,68.5516357421875,144.54214477539062,166.0187530517578
2020-04-28,67.44044494628906,146.2060089111328,161.97439575195312
2020-04-29,69.65554809570312,145.4473876953125,169.24278259277344
2020-04-30,71.125,143.74899291992188,170.94065856933594
2020-05-01,69.97993469238281,144.97994995117188,166.51473999023438
2020-05-04,70.97007751464844,144.29803466796875,170.58773803710938
2020-05-05,72.03524017333984,143.37432861328125,172.4191131591797
2020-05-06,72.7784423828125,141.06080627441406,174.11697387695312
2020-05-07,73.53134155273438,143.41751098632812,175.12806701660156
2020-05-08,75.281494140625,141.55287170410156,176.1582489013672
2020-05-11,76.4660873413086,140.44796752929688,178.12318420410156
2020-05-12,75.59221649169922,141.88955688476562,174.08834838867188
2020-05-13,74.67951202392578,142.88230895996094,171.45574951171875
2020-05-14,75.1383056640625,144.28076171875,172.19972229003906
2020-05-15,74.69406127929688,143.9095916748047,174.70840454101562
2020-05-18,76.45394897460938,140.75015258789062,176.37762451171875
2020-05-19,76.01216125488281,141.27670288085938,175.1566925048828
2020-05-20,77.4904556274414,141.69964599609375,177.58624267578125
2020-05-21,76.91275024414062,142.05360412597656,175.4532012939453
2020-05-22,77.40794372558594,142.90814208984375,175.5297393798828
2020-05-26,76.88360595703125,140.99185180664062,173.67408752441406
2020-05-27,77.21859741210938,140.73291015625,173.9036865234375
2020-05-28,77.25257110595703,140.2149200439453,173.51148986816406
2020-05-29,77.17731475830078,141.21620178222656,175.2810516357422
